20 380
1 2 1
1 3 0
1 4 -3
1 5 5
1 6 2
1 7 1
1 8 1
1 9 4
1 10 0
1 11 2
1 12 0
1 13 -2
1 14 -1
1 15 -5
1 16 4
1 17 -3
1 18 -4
1 19 -2
1 20 -5
2 1 4
2 3 -2
2 4 1
2 5 -2
2 6 1
2 7 4
2 8 -2
2 9 4
2 10 -3
2 11 -3
2 12 -2
2 13 2
2 14 -1
2 15 1
2 16 1
2 17 -2
2 18 -2
2 19 2
2 20 0
3 1 3
3 2 4
3 4 -1
3 5 2
3 6 -3
3 7 4
3 8 -4
3 9 3
3 10 -4
3 11 3
3 12 0
3 13 0
3 14 5
3 15 -4
3 16 5
3 17 1
3 18 0
3 19 -4
3 20 1
4 1 4
4 2 3
4 3 2
4 5 4
4 6 0
4 7 -1
4 8 4
4 9 -4
4 10 4
4 11 -3
4 12 0
4 13 2
4 14 1
4 15 -3
4 16 -5
4 17 0
4 18 1
4 19 2
4 20 -4
5 1 0
5 2 0
5 3 -3
5 4 1
5 6 3
5 7 -2
5 8 1
5 9 5
5 10 5
5 11 -4
5 12 0
5 13 -4
5 14 -1
5 15 -4
5 16 1
5 17 5
5 18 -3
5 19 -2
5 20 -4
6 1 3
6 2 5
6 3 -3
6 4 -1
6 5 -1
6 7 -5
6 8 5
6 9 2
6 10 1
6 11 5
6 12 -4
6 13 2
6 14 4
6 15 4
6 16 0
6 17 -5
6 18 0
6 19 1
6 20 -1
7 1 -1
7 2 3
7 3 -2
7 4 -4
7 5 4
7 6 -3
7 8 -2
7 9 -5
7 10 -3
7 11 -3
7 12 1
7 13 -5
7 14 2
7 15 0
7 16 -3
7 17 -3
7 18 -2
7 19 -2
7 20 2
8 1 -2
8 2 -2
8 3 -5
8 4 0
8 5 -2
8 6 -4
8 7 2
8 9 1
8 10 1
8 11 3
8 12 3
8 13 3
8 14 0
8 15 -2
8 16 -4
8 17 0
8 18 3
8 19 -2
8 20 0
9 1 -5
9 2 2
9 3 -4
9 4 -3
9 5 0
9 6 -2
9 7 4
9 8 3
9 10 -1
9 11 -2
9 12 2
9 13 1
9 14 -1
9 15 -2
9 16 1
9 17 3
9 18 4
9 19 5
9 20 4
10 1 5
10 2 2
10 3 2
10 4 3
10 5 4
10 6 -4
10 7 -2
10 8 4
10 9 3
10 11 -3
10 12 -4
10 13 -5
10 14 3
10 15 -4
10 16 1
10 17 2
10 18 -2
10 19 3
10 20 -4
11 1 -3
11 2 0
11 3 -3
11 4 3
11 5 -1
11 6 -4
11 7 5
11 8 4
11 9 -5
11 10 5
11 12 -5
11 13 -4
11 14 3
11 15 2
11 16 1
11 17 5
11 18 0
11 19 -4
11 20 0
12 1 -3
12 2 -4
12 3 4
12 4 -3
12 5 4
12 6 4
12 7 1
12 8 1
12 9 -2
12 10 2
12 11 1
12 13 -5
12 14 -3
12 15 4
12 16 1
12 17 -5
12 18 4
12 19 -5
12 20 3
13 1 -2
13 2 -2
13 3 0
13 4 4
13 5 2
13 6 4
13 7 -1
13 8 -3
13 9 -4
13 10 2
13 11 -1
13 12 0
13 14 -5
13 15 4
13 16 -1
13 17 2
13 18 -5
13 19 4
13 20 5
14 1 2
14 2 -1
14 3 -4
14 4 5
14 5 1
14 6 0
14 7 2
14 8 0
14 9 2
14 10 0
14 11 2
14 12 -1
14 13 0
14 15 -5
14 16 4
14 17 -3
14 18 4
14 19 3
14 20 -4
15 1 -4
15 2 4
15 3 0
15 4 0
15 5 -3
15 6 0
15 7 -5
15 8 0
15 9 1
15 10 -4
15 11 2
15 12 -4
15 13 4
15 14 -2
15 16 -5
15 17 0
15 18 -1
15 19 3
15 20 2
16 1 1
16 2 -5
16 3 5
16 4 -1
16 5 -2
16 6 2
16 7 2
16 8 4
16 9 1
16 10 0
16 11 0
16 12 5
16 13 1
16 14 3
16 15 -5
16 17 4
16 18 -3
16 19 2
16 20 0
17 1 1
17 2 0
17 3 5
17 4 4
17 5 4
17 6 5
17 7 -5
17 8 -2
17 9 -2
17 10 -5
17 11 3
17 12 2
17 13 -4
17 14 3
17 15 -4
17 16 -4
17 18 -1
17 19 -5
17 20 3
18 1 0
18 2 -4
18 3 2
18 4 4
18 5 -5
18 6 2
18 7 -3
18 8 -5
18 9 5
18 10 -1
18 11 -3
18 12 -5
18 13 -1
18 14 -1
18 15 -4
18 16 1
18 17 -4
18 19 0
18 20 -2
19 1 4
19 2 2
19 3 1
19 4 0
19 5 4
19 6 -5
19 7 2
19 8 4
19 9 2
19 10 0
19 11 4
19 12 0
19 13 0
19 14 4
19 15 4
19 16 5
19 17 1
19 18 0
19 20 -2
20 1 3
20 2 1
20 3 -1
20 4 -1
20 5 -5
20 6 1
20 7 4
20 8 -3
20 9 -3
20 10 -2
20 11 0
20 12 4
20 13 -3
20 14 -1
20 15 5
20 16 4
20 17 -1
20 18 -1
20 19 -3
